date,close,high,low,open,volume,ma_crossover_signal,rsi_signal,bb_signal,macd_signal,market_regime,target
2018-01-02,52.8880729675293,52.98441380384693,51.90629286000406,52.060734479904,24752000,-1,0,0,-1,1,1
2018-01-03,53.756134033203125,53.945337618341206,52.799181717935475,52.853808200584375,28604000,-1,-1,0,-1,1,1
2018-01-04,53.950801849365234,54.30686664970962,53.831717024674354,54.03025993034952,20092000,-1,-1,0,-1,1,1
2018-01-05,54.73692321777344,54.83723847831633,54.228898428695565,54.32822103152564,25582000,-1,-1,0,-1,1,1
2018-01-08,54.970821380615234,55.18584922125656,54.70663046318352,54.73692167765171,20952000,-1,-1,0,-1,1,0
2018-01-09,54.937049865722656,55.15108504006986,54.68730932631406,55.092984257682716,18050000,-1,-1,0,-1,1,0
2018-01-10,54.75579833984375,54.85462083092971,54.43300649177986,54.48216957287986,20856000,-1,-1,0,-1,1,1
2018-01-11,54.900306701660156,54.95021237906043,54.60582077077541,54.93903929656321,19566000,-1,-1,0,-1,1,1
2018-01-12,55.73161315917969,55.83242474434469,54.68328709430971,54.74585862651807,34410000,-1,-1,0,-1,1,0
2018-01-16,55.706783294677734,56.60811263801479,55.51171849196348,56.24062850846902,31506000,-1,-1,0,-1,1,1
2018-01-17,56.21431350708008,56.245104840653894,55.470900006749574,55.92827274039836,24052000,-1,-1,0,-1,1,0
2018-01-18,56.10554885864258,56.240626066458475,55.49522735703149,56.18599958877729,23964000,-1,-1,0,-1,1,1
2018-01-19,56.48892593383789,56.50630880771028,56.03155706172513,56.206855842964835,35564000,-1,-1,0,-1,1,1
2018-01-22,57.39771270751953,57.599828415882705,56.36974750155496,56.48793817231545,32360000,-1,-1,0,-1,1,1
2018-01-23,58.10089874267578,58.1831832401048,57.54371092402748,57.5983374036265,26662000,-1,-1,0,-1,1,0
2018-01-24,57.81634521484375,58.59203513925924,57.6579291866332,58.46639575555383,28332000,-1,-1,0,-1,1,1
2018-01-25,58.12076187133789,58.397368564408744,57.74284727127152,58.228025723948306,29610000,-1,-1,0,-1,1,1
2018-01-26,58.39240646362305,58.39240646362305,57.51193046149692,58.35466652766521,40376000,-1,-1,0,-1,1,0
2018-01-29,58.379493713378906,58.94115230855167,58.200716823597794,58.424189830209066,27578000,-1,-1,0,-1,1,0
2018-01-30,57.78903579711914,58.42617425367636,57.780590629458416,57.99462580733628,31126000,-1,-1,0,-1,1,1
2018-01-31,58.09941101074219,58.25137098376658,57.562584028148855,58.1306948817221,30774000,-1,-1,0,-1,1,0
2018-02-01,57.9881706237793,58.30103207525313,57.48263128630102,57.735402849425036,48242000,-1,-1,0,-1,1,0
2018-02-02,55.21713638305664,55.7718387966346,54.987605133735364,55.7187013008152,97158000,-1,0,0,-1,1,0
2018-02-05,52.43120193481445,55.122781907857316,52.243983662566116,54.15937351616049,75966000,-1,0,1,-1,1,1
2018-02-06,53.66276931762695,53.7178921272156,50.80914758395673,51.00992585383997,68960000,-1,0,0,-1,1,0
2018-02-07,52.072654724121094,53.72137198913794,52.056760834929456,53.70945251943666,47384000,-1,0,1,-1,1,0
2018-02-08,49.73564529418945,52.571240068971605,49.69293828262598,52.41183137446118,57182000,-1,0,1,-1,1,1
2018-02-09,51.53632354736328,51.84372159099324,49.29068941563271,50.516799710766655,70118000,-1,0,0,-1,1,1
2018-02-12,52.23950958251953,52.71426135545679,51.69264994682707,52.04384994357435,41154000,-1,0,0,-1,1,1
2018-02-13,52.247459411621094,52.55882810219594,51.84953248317332,51.894872692952944,25302000,-1,0,0,-1,1,1
2018-02-14,53.12147903442383,53.22179050649651,51.981779158529335,52.091028338813956,31116000,-1,0,0,-1,1,1
2018-02-15,54.105743408203125,54.203027650932064,52.85529781602886,53.58679181686359,36868000,-1,0,0,-1,1,1
2018-02-16,54.36794662475586,54.85809217760934,54.04579890721773,54.05061822222012,33590000,-1,0,0,-1,1,1
2018-02-20,54.74834060668945,55.318933081882676,54.05607558783214,54.15787982424785,28462000,-1,0,0,1,1,1
2018-02-21,55.18932342529297,56.31313308607461,54.940526297037756,54.94747868911214,30258000,-1,0,0,1,1,0
2018-02-22,54.95542907714844,55.75942499183889,54.754802345117604,55.43018088832295,26344000,-1,0,0,1,1,1
2018-02-23,55.956573486328125,55.98090496485596,54.86027405166285,55.25388175040145,25220000,-1,0,0,1,1,1
2018-02-26,56.7988166809082,56.80924716502189,55.951863644139,56.006736401646634,31182000,-1,0,0,1,1,0
2018-02-27,55.534461975097656,56.813209590333905,55.52006086198838,56.67416174736875,35482000,-1,0,0,1,1,0
2018-02-28,54.8610725402832,55.99332366867216,54.787077865678945,55.769854447089536,37652000,-1,0,0,1,1,0
