date,close,high,low,open,volume,ma_crossover_signal,rsi_signal,bb_signal,macd_signal,market_regime,target
2018-01-02,79.19833374023438,79.53005508401151,78.78368557555284,79.36419441212294,22483800,-1,0,0,-1,1,1
2018-01-03,79.56690216064453,79.71433697191691,79.21675502899076,79.29968183777241,26061400,-1,-1,0,-1,1,1
2018-01-04,80.2672119140625,80.77401034362858,79.76962991869203,79.78805575700378,21912000,-1,-1,0,-1,1,1
2018-01-05,81.26237487792969,81.46509424719444,80.56207351958217,80.77400932292608,23407100,-1,-1,0,-1,1,1
2018-01-08,81.34529876708984,81.62173553888103,80.7187148437651,81.27158135726832,22113000,-1,-1,0,-1,1,0
2018-01-09,81.29002380371094,81.75996355910044,80.95830245050423,81.68624614059229,19484300,-1,-1,0,-1,1,0
2018-01-10,80.92143249511719,81.26237023577525,80.5436430804065,80.95829119924879,18652200,-1,-1,0,-1,1,1
2018-01-11,81.16099548339844,81.20706358244774,80.38697690054651,81.20706358244774,17808900,-1,-1,0,-1,1,1
2018-01-12,82.56160736083984,82.72746801679786,81.50194244944586,81.70466181007,24271500,-1,-1,0,-1,1,0
2018-01-16,81.40979766845703,83.65812940016168,81.0965092298183,83.02232905929264,36599700,-1,-1,0,-1,1,1
2018-01-17,83.05918884277344,83.1881907933106,81.77837874095522,82.08245778011239,25621200,-1,-1,0,-1,1,0
2018-01-18,83.02232360839844,83.54754780286918,82.61689195148954,82.74589389188034,24159700,-1,-1,0,-1,1,0
2018-01-19,82.93020629882812,83.49228937059331,82.61691778280462,83.05920827955318,36875000,-1,-1,0,-1,1,1
2018-01-22,84.4137191772461,84.42293561118677,82.69061159446089,82.93018966636369,23601600,-1,-1,0,-1,1,1
2018-01-23,84.6809310913086,85.04951108137347,84.34920980325806,84.6809310913086,23412800,-1,-1,0,-1,1,0
2018-01-24,84.60723114013672,86.0907608093647,84.38608591251119,85.27989028801774,33277500,-1,-1,0,-1,1,1
2018-01-25,85.07715606689453,85.91566871673936,84.70857606506084,85.2061580130245,26383200,-1,-1,0,-1,1,1
2018-01-26,86.67127227783203,86.67127227783203,85.30753513131914,85.80511718101879,29172200,-1,-1,0,-1,1,0
2018-01-29,86.5422592163086,87.95207132810575,86.35797271636518,87.66642514416966,31569900,-1,-1,0,-1,1,0
2018-01-30,85.4549560546875,86.3026922729121,84.86523079075367,85.97097093318936,38635100,-1,-1,0,-1,1,1
2018-01-31,87.54663848876953,87.90600208006212,86.16446866685057,86.38561386993541,48756300,-1,-1,0,-1,1,0
2018-02-01,86.85555267333984,88.5233686581289,86.22896874605834,87.34391821385294,47227900,-1,-1,0,-1,1,0
2018-02-02,84.57037353515625,86.58834397507752,84.31236959454314,86.2842648893206,47867800,-1,0,0,-1,1,0
2018-02-05,81.08731842041016,85.91569768520276,81.08731842041016,83.44621997937793,51031500,-1,0,0,-1,1,1
2018-02-06,84.15573120117188,84.2939496161346,78.55333341798372,80.06450548672676,67998600,-1,0,0,-1,1,0
2018-02-07,82.57084655761719,84.56116794772502,82.19305000319798,83.38171719357504,41107600,-1,0,0,-1,1,0
2018-02-08,78.33216094970703,82.81960044809091,78.10179934818579,82.66295624627523,55628700,-1,0,1,-1,1,1
