date,close,high,low,open,volume,ma_crossover_signal,rsi_signal,bb_signal,macd_signal,market_regime,target
2018-01-02,4.928807258605957,4.932516237964295,4.808894281840682,4.840541095162915,355616000,-1,0,0,-1,1,1
2018-01-03,5.2531914710998535,5.283602744699066,5.037594838349351,5.046248337768554,914704000,-1,-1,0,-1,1,1
2018-01-04,5.280882358551025,5.39115340000298,5.258630369473556,5.334534523373914,583268000,-1,-1,0,-1,1,1
2018-01-05,5.325634479522705,5.3629680828282424,5.218824826340431,5.2957178923070725,580124000,-1,-1,0,-1,1,1
2018-01-08,5.4888153076171875,5.5629882962686255,5.404257647837403,5.44925631745904,881216000,-1,-1,0,-1,1,0
2018-01-09,5.487331390380859,5.533813177481108,5.405740919070777,5.494254189668967,497000000,-1,-1,0,-1,1,1
2018-01-10,5.530351161956787,5.533812561215367,5.340467947288537,5.394861431577689,582664000,-1,-1,0,-1,1,1
2018-01-11,5.5402421951293945,5.5943885816284995,5.518731528133774,5.562988402694326,406032000,-1,-1,0,-1,1,0
2018-01-12,5.5130462646484375,5.562742356684738,5.472498361955783,5.528375459081376,359916000,-1,-1,0,-1,1,0
2018-01-16,5.442086219787598,5.62504667663531,5.35752902721096,5.53950057999058,702348000,-1,-1,0,-1,1,1
2018-01-17,5.556065082550049,5.565954593562471,5.362720450032951,5.456672926762429,538408000,-1,-1,0,-1,1,0
2018-01-18,5.549142837524414,5.603536332475479,5.505627758615338,5.536780358048918,408632000,-1,-1,0,-1,1,1
2018-01-19,5.689329624176025,5.713559422106991,5.612437034801993,5.639386436560671,609380000,-1,-1,0,-1,1,1
2018-01-22,5.777843952178955,5.77957465234744,5.639634575263648,5.6972423686919855,550944000,-1,-1,0,-1,1,1
2018-01-23,5.9069037437438965,5.929649946884044,5.812703696846336,5.831246704966619,475228000,-1,-1,0,-1,1,0
2018-01-24,5.83001184463501,5.9459692137338385,5.77438186612525,5.910118730740841,579972000,-1,-1,0,-1,1,1
2018-01-25,5.843610763549805,5.92767374353841,5.828776258722524,5.884405769719931,409884000,-1,-1,0,-1,1,1
2018-01-26,6.016185283660889,6.0164323917219225,5.87451455394413,5.887371246821923,516356000,-1,-1,0,-1,1,1
2018-01-29,6.103215217590332,6.134368283112587,5.948935367891821,6.001598153590899,455116000,-1,-1,0,-1,1,0
2018-01-30,6.001105308532715,6.092585782293102,5.894543220894434,5.961299204050897,570832000,-1,-1,0,-1,1,1
2018-01-31,6.077256202697754,6.163049882548617,6.043878213239483,6.0765144067212935,478576000,-1,-1,0,-1,1,0
2018-02-01,5.9462151527404785,6.104451557343486,5.8858877740126045,5.897260875593051,519224000,-1,-1,0,-1,1,0
2018-02-02,5.773639678955078,5.88366361636553,5.715537680075783,5.859680926623831,718464000,-1,-1,0,-1,1,0
2018-02-05,5.283602714538574,5.76646986569513,5.068500299222557,5.612437105332238,1165204000,-1,0,0,-1,1,1
2018-02-06,5.577328205108643,5.580294916958085,5.043775618806802,5.0536656014656005,1114800000,-1,0,0,-1,1,1
2018-02-07,5.6569414138793945,5.809491075613452,5.605020410321529,5.6762266949011835,802932000,-1,0,0,-1,1,0
2018-02-08,5.378049373626709,5.8156707069049585,5.3778017939679295,5.782540304337546,1144000000,-1,0,0,-1,1,1
2018-02-09,5.738036155700684,5.906409181825917,5.378049212103226,5.890585776833182,1674604000,-1,0,0,-1,1,0
2018-02-12,5.637903213500977,5.8221001489184845,5.5637302231040735,5.8191329652176,1093172000,-1,0,0,-1,1,1
2018-02-13,5.7516350746154785,5.79786975269274,5.569168857942581,5.60155793772168,625524000,-1,0,0,-1,1,1
2018-02-14,5.968963623046875,5.997891309202381,5.700209469812402,5.711335466673718,744988000,-1,0,0,-1,1,1
2018-02-15,6.094561576843262,6.140796250532031,5.971434323964199,6.052282990112889,698900000,-1,0,0,-1,1,0
2018-02-16,6.028794765472412,6.18109679817469,6.019646579987504,6.067364843446801,637656000,-1,0,0,-1,1,1
2018-02-20,6.158351898193359,6.2273327870524104,6.047586159883645,6.051295139421481,686240000,-1,0,0,1,1,0
2018-02-21,5.971187114715576,6.229804585103552,5.967478607173479,6.222881786182141,892292000,-1,0,0,1,1,1
2018-02-22,5.990731239318848,6.07682547424057,5.925171044730219,6.005080435763582,534364000,-1,0,0,1,1,1
2018-02-23,6.084248065948486,6.084248065948486,5.999885599314181,6.050602078329901,415300000,-1,0,0,1,1,1
2018-02-26,6.1003289222717285,6.134964427706314,6.037984540616104,6.130511358703777,469312000,-1,0,0,1,1,0
2018-02-27,6.087464809417725,6.157973078877785,6.0644567335614035,6.073610134071277,455436000,-1,0,0,1,1,0
2018-02-28,5.987020969390869,6.137933155797601,5.975393065454423,6.09834958508042,523116000,-1,0,0,1,1,0
2018-03-01,5.744817733764648,6.0387259070786765,5.64363205423715,5.98479314808712,1040120000,-1,0,0,-1,1,1
2018-03-02,5.85194206237793,5.858374640915502,5.488515059334415,5.6372009601159245,913428000,-1,0,0,-1,1,0
2018-03-05,5.8299241065979,5.869507681660066,5.678269174837483,5.801720703194585,620776000,-1,0,0,-1,1,1
2018-03-06,5.990978717803955,6.010275978807212,5.872228012105026,5.915275131124054,636808000,-1,0,0,-1,1,0
2018-03-07,5.983062267303467,6.035263259080624,5.8868246368314425,5.888061416939446,581208000,-1,0,0,-1,1,0
2018-03-08,5.96673583984375,6.01052523015188,5.922451454218502,6.01052523015188,411912000,-1,0,0,-1,1,1
2018-03-09,6.0694050788879395,6.08226929253062,5.998154549250474,6.014235052240544,505524000,-1,0,0,-1,1,1
2018-03-12,6.1790008544921875,6.259157509410138,6.1025550116369125,6.110719364422827,605060000,-1,0,0,1,1,0
2018-03-13,6.1282854080200195,6.296268575594882,6.086970057618369,6.221801757076048,619772000,-1,0,0,1,1,1
2018-03-14,6.15376615524292,6.198545046740744,6.091421779045988,6.171331168068698,505496000,-1,0,0,1,1,1
2018-03-15,6.168610572814941,6.249756751019984,6.126552970049063,6.167373792677732,401952000,-1,0,0,1,1,1
2018-03-16,6.19681453704834,6.215864067259472,6.14733483333571,6.1849393704074345,399456000,-1,0,0,1,1,0
2018-03-19,5.962281227111816,6.1688579610207,5.863322298536501,6.139912775231709,713772000,-1,0,0,-1,1,1
2018-03-20,6.174549579620361,6.213390902364663,5.96525103600526,5.96525103600526,554696000,-1,0,0,-1,1,0
2018-03-21,6.149313926696777,6.234418652706064,6.1188837552522,6.168115722088311,438688000,-1,0,0,-1,1,0
2018-03-22,5.983311176300049,6.132492096436482,5.9459543667739405,6.085981412846723,551196000,-1,0,0,-1,1,0
2018-03-23,5.763621807098389,5.9993914887159665,5.752488896801092,5.996917456219517,735620000,-1,0,0,-1,1,1
2018-03-26,6.048376560211182,6.04961334059641,5.836109466845824,5.888062736748002,611424000,-1,0,0,-1,1,0
2018-03-27,5.579309940338135,6.184939172815241,5.439035659573214,6.1292746258852215,1409000000,-1,0,1,-1,1,0
2018-03-28,5.476145267486572,5.675052653252918,5.368527456682515,5.544921761733006,945904000,-1,0,1,-1,1,1
2018-03-29,5.729482173919678,5.826214366472431,5.4600659641497575,5.544428463169086,916628000,-1,0,0,-1,1,0
2018-04-02,5.468722343444824,5.805183138692402,5.38089633264437,5.658971295113653,922092000,-1,0,1,-1,1,1
2018-04-03,5.575103282928467,5.698802047531935,5.4761443656203594,5.635715885208436,667432000,-1,0,0,-1,1,1
2018-04-04,5.597124099731445,5.607514754859492,5.294309171272483,5.319296290300433,789168000,-1,0,0,-1,1,0
2018-04-05,5.476888656616211,5.668621718590675,5.405390853594209,5.65550976924721,701240000,-1,0,0,-1,1,0
2018-04-06,5.3004937171936035,5.4823311153748335,5.2713007910484695,5.374218289576877,662988000,-1,0,0,-1,1,1
2018-04-09,5.3291916847229,5.4914845410247395,5.309152162428074,5.363579935329422,499524000,-1,0,0,-1,1,1
2018-04-10,5.6384382247924805,5.665404375504422,5.502369275361285,5.5595183379345405,761676000,-1,0,0,-1,1,0
2018-04-11,5.597124099731445,5.664911091666939,5.56446762022229,5.623595732884411,460244000,-1,0,0,-1,1,1
2018-04-12,5.803946495056152,5.821759243840106,5.645859470297879,5.690143844662138,593920000,-1,0,0,1,1,0
2018-04-13,5.727253437042236,5.8759393295295395,5.679010988195272,5.867527714314293,503036000,-1,0,0,1,1,0
2018-04-16,5.727006912231445,5.760405643854981,5.632748301107696,5.733934014623871,350792000,-1,0,0,1,1,1
2018-04-17,5.876681327819824,5.897957626583024,5.723542372801609,5.779206915896396,447224000,-1,0,0,1,1,0
2018-04-18,5.847735404968262,5.918985922513068,5.758672611942271,5.826211845534034,391364000,-1,0,0,1,1,0
2018-04-19,5.666392803192139,5.766836233321943,5.610975998636846,5.733437510487993,471996000,-1,0,0,1,1,0
2018-04-20,5.658229827880859,5.742097304889119,5.627057870331245,5.6577348326724195,386200000,-1,0,0,1,1,0
2018-04-23,5.5387372970581055,5.727254043126844,5.512760663679757,5.676043033305734,427508000,-1,0,0,1,1,0
2018-04-24,5.472434043884277,5.6604557676753755,5.407121105423076,5.564465868818391,414596000,-1,0,0,-1,1,0
2018-04-25,5.360116958618164,5.481836731859325,5.202772150601318,5.44274767360869,588492000,-1,0,0,-1,1,1
2018-04-26,5.571887969970703,5.58005232391341,5.45585854242903,5.52191374336937,375824000,-1,0,0,-1,1,1
2018-04-27,5.599349021911621,5.697566169886227,5.557044154741612,5.677774383289998,400848000,-1,0,0,-1,1,0
2018-04-30,5.563971042633057,5.665404004024835,5.54467425198951,5.615677041839718,327844000,-1,0,0,-1,1,1
2018-05-01,5.619389057159424,5.622110351386427,5.4971743036481415,5.55580788380502,253788000,-1,0,0,1,1,0
2018-05-02,5.5988545417785645,5.660456200809058,5.572630176602654,5.61592503452897,268248000,-1,0,0,1,1,1
2018-05-03,5.764115333557129,5.790339695985172,5.585494276318055,5.630768166613306,443144000,-1,0,0,1,1,1
2018-05-04,5.9142866134643555,5.917502902821362,5.718100512661951,5.735418267855929,400660000,-1,0,0,1,1,1
2018-05-07,6.152281761169434,6.209430813115384,6.009038474796862,6.018934602460001,687616000,-1,0,-1,1,1,1
2018-05-08,6.194835662841797,6.197556956961618,6.103545611809531,6.152530321586638,506616000,-1,0,-1,1,1,1
2018-05-09,6.327934741973877,6.330161512598483,6.187660461332376,6.214874344668311,596760000,-1,0,-1,1,1,1
2018-05-10,6.435553073883057,6.44470647437385,6.363065295596938,6.38087804511374,994080000,-1,-1,-1,1,1,0
2018-05-11,6.297010898590088,6.427142277887249,6.198299686464402,6.253716507306892,1214456000,-1,0,0,1,1,1
2018-05-14,6.317543029785156,6.3949788590954375,6.293793173140148,6.335108514548233,523140000,-1,0,0,1,1,0
2018-05-15,6.075095176696777,6.256685295165674,5.974651720899881,6.253963529069318,963528000,-1,0,0,1,1,1
2018-05-16,6.0862274169921875,6.148324069519449,5.999638175408817,6.036500453888233,553828000,-1,0,0,1,1,1
2018-05-17,6.1282854080200195,6.22204901875555,6.07187860144694,6.08795957620981,519784000,-1,0,0,1,1,0
2018-05-18,6.0844950675964355,6.2435715990652385,6.079547003544543,6.180238172319781,483716000,-1,0,0,1,1,0
2018-05-21,6.04243803024292,6.185681336348375,5.949663944050659,6.181970523900174,640624000,-1,0,0,1,1,0
2018-05-22,6.004339218139648,6.081032333749572,5.943726605047766,6.055797958693602,518264000,-1,0,0,-1,1,1
2018-05-23,6.127868175506592,6.129106193059545,5.947403744978714,5.948146461077415,442956000,-1,0,0,-1,1,1
2018-05-24,6.1315789222717285,6.173910418436382,6.070929306165925,6.124152708475605,437372000,-1,0,0,-1,1,1
2018-05-25,6.170940399169922,6.187278732787186,6.108557928357771,6.144204987083967,292112000,-1,0,0,-1,1,0
2018-05-29,6.153859615325928,6.221936401808043,6.107072760196834,6.152869484785957,352684000,-1,0,0,-1,1,1
2018-05-30,6.262783050537109,6.271447284419667,6.162772766769683,6.187527923076419,390996000,-1,0,0,-1,1,0
2018-05-31,6.242978572845459,6.3174914510646865,6.220204151746636,6.23084864627854,493868000,-1,0,0,-1,1,1
2018-06-01,6.377398490905762,6.383587633782615,6.279121059056969,6.287785292486192,421968000,-1,0,0,1,1,1
2018-06-04,6.556375980377197,6.578407679280735,6.3793773125138085,6.41155867386844,642024000,-1,0,-1,1,1,1
2018-06-05,6.561822414398193,6.599450203723649,6.514787677741375,6.5595942668071325,391712000,-1,0,-1,1,1,1
2018-06-06,6.563803195953369,6.567021474229579,6.455376114557788,6.471714448359386,371356000,-1,-1,0,1,1,0
2018-06-07,6.50810432434082,6.571972224058852,6.417747956166697,6.560089714305448,369448000,-1,0,0,1,1,0
2018-06-08,6.4927568435668945,6.5353352907229345,6.41651112431249,6.4353250214856,360456000,-1,0,0,1,1,0
2018-06-11,6.451662540435791,6.5217191085308945,6.438789900427321,6.480130797195161,265372000,-1,0,0,1,1,1
2018-06-12,6.500182628631592,6.512312553502011,6.427897908574673,6.478150926631645,319160000,-1,0,0,1,1,0
2018-06-13,6.4957275390625,6.57667650031359,6.486568004646721,6.501668794877426,338208000,-1,0,0,1,1,1
2018-06-14,6.607370853424072,6.664059944549245,6.525926616136069,6.540779987132852,430016000,-1,0,0,1,1,0
2018-06-15,6.566525459289551,6.621481709937693,6.519243309454045,6.550187127263487,432260000,-1,0,0,1,1,0
2018-06-18,6.562318325042725,6.579894204176256,6.495232142497851,6.522462384425368,356268000,-1,0,0,-1,1,0
2018-06-19,6.440524578094482,6.526424674099253,6.31303615892835,6.459090591434944,594932000,-1,0,0,-1,1,1
2018-06-20,6.493499279022217,6.546474803038329,6.443246259809949,6.481616768461422,369780000,-1,0,0,-1,1,0
2018-06-21,6.364772796630859,6.543751752464578,6.357098694986884,6.525433157652462,359516000,-1,0,0,-1,1,0
2018-06-22,6.212280750274658,6.3989342614048175,6.196933020674174,6.385566320458842,434160000,-1,0,0,-1,1,0
2018-06-25,5.919430255889893,6.109549034509181,5.830807188005268,6.105835926510328,665816000,-1,0,1,-1,1,1
2018-06-26,5.990476131439209,6.0810799201153065,5.938985567247715,6.032807634227092,478884000,-1,0,1,-1,1,0
2018-06-27,5.835262775421143,6.100389252291489,5.829816348789656,6.034045779420783,453892000,-1,0,1,-1,1,1
2018-06-28,5.9625020027160645,5.97438451091355,5.817684701327583,5.8253588015315785,338012000,-1,0,0,-1,1,0
2018-06-29,5.864473342895508,6.040234027171733,5.863235325589192,6.027609272504962,392300000,-1,0,0,-1,1,1
2018-07-02,5.9966654777526855,6.000378585358202,5.774364879474336,5.794911622933348,357572000,-1,0,0,-1,1,0
2018-07-03,5.862987995147705,6.037263722189158,5.854571177138875,6.031322466663235,222732000,-1,0,0,-1,1,1
2018-07-05,6.00879430770874,6.013744959558363,5.879325200496337,5.9181905324656245,306216000,-1,0,0,-1,1,1
2018-07-06,6.1226677894592285,6.1310846064870095,5.962997569162097,5.984287026301423,296352000,-1,0,0,-1,1,1
2018-07-09,6.1701979637146,6.2065882121743305,6.091477155707027,6.196933849181037,303880000,-1,0,0,-1,1,1
2018-07-10,6.269219398498535,6.291251104420056,6.142225814463644,6.182576590408163,360016000,-1,0,0,1,1,0
2018-07-11,6.12761926651001,6.211043781383894,6.116974301245094,6.176386852998671,367508000,-1,0,0,1,1,1
2018-07-12,6.219213008880615,6.267237881743086,6.16301920486554,6.172921454685342,345508000,-1,0,0,1,1,0
2018-07-13,6.171929836273193,6.23777846467562,6.129846225795139,6.23777846467562,246988000,-1,0,0,1,1,0
2018-07-16,6.144205570220947,6.197181570254733,6.131828229583095,6.144205570220947,197036000,-1,0,0,1,1,1
2018-07-17,6.280110836029053,6.295211626106862,6.069445323921442,6.094943193528777,362136000,-1,0,0,1,1,0
2018-07-18,6.23084831237793,6.28654728905316,6.179853046173082,6.272684516576707,277640000,-1,0,0,1,1,1
2018-07-19,6.239016532897949,6.272683801836292,6.196933391055463,6.212033706997306,235752000,-1,0,0,1,1,0
2018-07-20,6.210797309875488,6.275407938532384,6.199904928372511,6.236542595489574,222352000,-1,0,0,1,1,0
2018-07-23,6.174159049987793,6.186041561001983,6.022410328206835,6.184308714485967,301584000,-1,0,0,1,1,0
2018-07-24,6.156830310821533,6.308826440435921,6.1392539596804,6.222183646325806,354620000,-1,0,0,1,1,1
2018-07-25,6.235055446624756,6.247680671333799,6.108309314757565,6.166236427521853,319112000,-1,0,0,1,1,1
2018-07-26,6.3085784912109375,6.345463567401592,6.198171149388678,6.215004784437119,325124000,-1,0,0,1,1,0
2018-07-27,6.238769054412842,6.352147254846701,6.1848029309991555,6.345215869469275,295420000,-1,0,0,1,1,0
2018-07-30,6.04345178604126,6.258820978795881,6.008546972348735,6.252879723865979,340340000,-1,0,0,-1,1,1
2018-07-31,6.061522960662842,6.136283240293311,5.994189367730245,6.033054703235489,283988000,-1,0,0,-1,1,1
2018-08-01,6.101378440856934,6.148165764481773,6.0375105404680225,6.092962095844644,283556000,-1,0,0,-1,1,1
2018-08-02,6.204113006591797,6.208073528988515,5.97116790322593,6.030084687282021,269668000,-1,0,0,-1,1,1
2018-08-03,6.240750789642334,6.264515814930727,6.211787696258099,6.228620862366271,214288000,-1,0,0,1,1,1
